Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1991,GuthrieMark,26.0,160000.0,4.32,116,47,72,11,7,5,294,432.0,13,192.0,76.0,AL,MIN,12
1991,GuzmanJuan,25.0,100000.0,2.99,98,46,123,6,10,3,416,574.0,0,190.0,71.0,AL,TOR,23
1991,HammondChris,25.0,100000.0,4.06,92,45,50,4,7,7,299,425.0,0,190.0,73.0,NL,CIN,18
1991,HansonErik,26.0,400000.0,3.81,182,74,143,16,8,8,524,744.0,0,210.0,78.0,AL,SEA,27
1991,HarnischPete,25.0,210000.0,2.7,169,65,172,14,12,9,650,900.0,0,195.0,73.0,NL,HOU,33
1991,HarrisGreg,36.0,1300000.0,3.85,157,74,127,13,11,12,519,731.0,15,165.0,72.0,AL,BOS,21
1991,HershiserOrel,33.0,3166667.0,3.46,112,43,73,3,7,2,336,473.0,0,190.0,75.0,NL,LAN,21
1991,HeskethJoe,32.0,525000.0,3.29,142,56,104,19,12,4,460,631.0,5,170.0,74.0,AL,BOS,17
1991,HibbardGreg,27.0,150000.0,4.31,196,93,71,23,11,11,582,806.0,1,180.0,72.0,AL,CHA,29
1991,HillKen,26.0,155000.0,3.57,147,72,121,15,11,10,544,743.0,0,200.0,76.0,NL,SLN,30
1991,HolmanBrian,26.0,300000.0,3.69,199,80,108,16,13,14,586,839.0,0,185.0,76.0,AL,SEA,30
1991,HoughCharlie,43.0,800000.0,4.02,167,89,107,21,9,10,598,858.0,1,190.0,74.0,AL,CHA,29
1991,HurstBruce,33.0,1883334.0,3.29,201,81,141,17,15,8,665,909.0,0,200.0,76.0,NL,SDN,31
1991,JacksonDanny,29.0,2625000.0,6.75,89,53,31,8,1,5,212,347.0,0,205.0,72.0,NL,CHN,14
1991,JohnsonDave,32.0,200000.0,7.07,127,66,38,18,4,8,252,393.0,4,180.0,70.0,AL,BAL,14
1991,JohnsonRandy,28.0,350000.0,3.98,151,89,228,15,13,10,604,889.0,0,225.0,82.0,AL,SEA,33
1991,KileDarryl,23.0,100000.0,3.69,144,63,100,16,7,11,461,689.0,5,185.0,77.0,NL,HOU,22
